name	length	MII_SRR17972798_Rep1_R1	MII_SRR17972799_Rep2_R1	MII_SRR17972800_Rep3_R1	MII_SRR17972801_Rep4_R1	MII_SRR17972802_Rep5_R1	MII_SRR17972803_Rep6_R1	MII_SRR17972804_Rep7_R1	MII_SRR17972805_Rep8_R1	MII_SRR17972806_Rep9_R1	MII_SRR17972807_Rep10_R1	MII_SRR17972808_Rep11_R1	MII_SRR17972809_Rep12_R1	MII_SRR17972810_Rep13_R1	MII_SRR17972811_Rep14_R1	MII_SRR17972812_Rep15_R1	MII_SRR17972813_Rep16_R1	MII_SRR17972826_Rep17_R1	MII_SRR17972827_Rep18_R1	MII_SRR17972828_Rep19_R1	MII_SRR17972856_Rep20_R1	MII_SRR17972857_Rep21_R1	MII_SRR17972858_Rep22_R1	MII_SRR17972859_Rep23_R1
DNAJC8	1525	1133	1094	1577	901	1293	773	801	686	1769	1376	2414	2834	5046	6727	4371	5725	3541	3457	3422	876	400	1311	531
DNAJC9	1183	0	357	519	280	271	159	412	305	124	665	345	691	621	849	406	433	1926	2458	1914	108	170	103	65
DNAL1	1123	0	0	7	4	0	6	7	22	24	13	43	34	78	40	46	39	242	322	251	80	57	20	24
DNAL4	1501	0	16	31	48	21	59	64	7	18	17	16	31	32	35	17	21	9	15	10	43	60	59	69
DNALI1	1385	0	148	50	92	52	80	66	58	138	99	57	353	102	165	114	198	4	10	9	53	95	2	102
DNASE1	6872	0	160	118	367	208	194	271	149	23	237	348	268	101	207	304	209	17	20	18	205	138	58	439
DNASE1L1	2252	0	3	55	16	0	22	3	28	1	67	184	54	65	139	115	74	12	10	2	19	54	0	0
DNASE1L2	2709	220	12	10	0	15	0	1	0	0	0	0	2	0	4	0	10	0	0	0	0	10	0	28
DNASE1L3	2598	0	0	0	29	0	5	0	27	0	20	13	33	46	12	11	28	9	10	6	15	18	50	39
DNASE2	1523	1414	147	568	341	333	306	642	426	36	358	435	196	479	276	533	290	21	38	60	777	660	539	172
